id;polos;contato;email;num_vagas_eixo;total_vagas
49;Bom Jesus dos Perdões;(11) 4891-1439;bomjesusdosperdoes@polo.univesp.br;10;30
50;Borborema;(16) 3266-1123;borborema@polo.univesp.br;10;30
51;Botucatu;(14) 3811-3142;botucatu@polo.univesp.br;50;150
52;Bragança Paulista;(11) 4031-0628;braganca@polo.univesp.br;40;120
53;Braúna;(18) 3692-1193;brauna@polo.univesp.br;10;30
54;Brodowski;(16) 3664-9155;brodowski@polo.univesp.br;NA;NA
55;Brotas;(14) 3653-4412  ;brotas@polo.univesp.br;10;30
56;Buri;(15) 3546-1174 ;buri@polo.univesp.br;10;30
57;Cabreúva;(11) 4529-5083 ;cabreuva@polo.univesp.br;15;45
58;Caçapava;(12) 3655-51522;cacapava@polo.univesp.br;35;105
59;Cachoeira Paulista;(12) 3103-1085;cachoeirapaulista@polo.univesp.br;10;30
60;Caconde;(19) 99691-3070;caconde@polo.univesp.br;10;30
61;Cafelândia;(14) 3556-8000;cafelandia@polo.univesp.br;10;30
62;Caieiras;(11) 4441-3770;caieiras@polo.univesp.br;35;105
63;Cajamar;(11) 4447-3035;cajamar@polo.univesp.br;25;75
64;Cajati;(13) 3854-4803;cajati@polo.univesp.br;10;30
65;Cajobi;(17) 3563-9000;cajobi@polo.univesp.br;10;30
66;Cajuru;(16) 3667-0322 ;cajuru@polo.univesp.br;10;30
67;Campinas;(19) 2515-7111;campinas@polo.univesp.br;100;300
68;Campo Limpo Paulista;(11) 4039- 4958;campolimpo.paulista@polo.univesp.br;30;90
69;Campos do Jordão;(12) 3662-5946;camposdojordao@polo.univesp.br;15;45
70;Cândido Rodrigues;NA;candidorodrigues@polo.univesp.br;10;30
71;Capão Bonito;(15) 3542-2183;capaobonitoprefeitura@polo.univesp.br;15;45
72;Capela do Alto;(15) 3267-1492;capeladoalto@polo.univesp.br;10;30
73;Capivari;(19) 3492-5649;capivari@polo.univesp.br;20;60
74;Caraguatatuba;(12) 3883 -1278;caraguatatuba@polo.univesp.br;40;120
75;Carapicuíba;(11) 4183-6497;carapicuiba@polo.univesp.br;100;300
76;Casa Branca;(19) 3671-3474;casabranca@polo.univesp.br;10;30
77;Catanduva;(17) 3531-2200 ;catanduva@polo.univesp.br;NA;NA
78;Cerqueira César;(14) 3714 -1255 ;cerqueiracesar@polo.univesp.br;10;30
79;Cerquilho;(15) 3284-5767;cerquilho@polo.univesp.br;15;45
80;Cesário Lange;(15) 3246-1863;cesariolange@polo.univesp.br;10;30
81;Charqueada;(19) 3186-9023;charqueada@polo.univesp.br;10;30
82;Chavantes;(14) 3342-1167;chavantes@polo.univesp.br;10;30
83;Clementina;(18) 99673-7931;clementina@polo.univesp.br;NA;NA
84;Colina;(17) 3341-1355;colina@polo.univesp.br;10;30
85;Conchal;(19) 3866-8038 ;conchal@polo.univesp.br;10;30
86;Conchas;(14) 3845-4080;conchas@polo.univesp.br;10;30
87;Cordeirópolis;(19) 3556-9110;cordeiropolis@polo.univesp.br;10;30
88;Cosmópolis;(19) 99416-2090;cosmopolis@polo.univesp.br;25;75
89;Cravinhos;(16) 3951-8888 ;cravinhos@polo.univesp.br;10;30
90;Cristais Paulista;(16) 3133- 1144;cristaispaulista@polo.univesp.br;10;30
91;Cruzeiro;NA;cruzeiroprefeitura@polo.univesp.br;30;90
92;Cubatão;(13) 3362-8845;cubatao@polo.univesp.br;40;120
93;Cunha;(12) 3111-1257;cunha@polo.univesp.br;10;30
94;Diadema;(11) 4077-3550 ;diadema@polo.univesp.br;100;300
95;Dois Córregos;(14) 3652-2255;doiscorregos@polo.univesp.br;10;30
96;Dourado;(16) 3345-1046;dourado@polo.univesp.br;10;30
97;Dracena;(18) 3822-2115;dracena@polo.univesp.br;15;45
98;Dumont;(16) 3944-1886;dumont@polo.univesp.br;10;30
99;Eldorado;(13) 3871-3000;eldorado@polo.univesp.br;10;30
100;Elias Fausto;(19) 3821-1386;eliasfausto@polo.univesp.br;10;30
101;Embu das Artes;(11) 4781-1072;embu@polo.univesp.br;100;300
102;Engenheiro Coelho;(19) 3857-9548;engenheirocoelho@polo.univesp.br;10;30
103;Espírito Santo do Pinhal;(19) 3651-8030;espiritosantodopinhal@polo.univesp.br;15;45
104;Estiva Gerbi;(19) 3868-9149;estivagerbi@polo.univesp.br;10;30
105;Estrela do Norte;(18) 3999-1219 ;estreladonorte@polo.univesp.br;10;30
106;Estrela d'Oeste;NA;NA;10;30
107;Fartura;(14) 3382-1592;fartura@polo.univesp.br;10;30
108;Fernando Prestes;(16) 3258-1492;fernandoprestes@polo.univesp.br;NA;NA
109;Fernandópolis;(17) 3442-3273 ;fernandopolis@polo.univesp.br;25;75
110;Ferraz de Vasconcelos;(11) 4676-4500;ferrazdevasconcelos@polo.univesp.br;70;210
111;Flora Rica;(18) 99657-9491;florarica@polo.univesp.br;10;30
112;Flórida Paulista;(18) 3581-1952;floridapaulista@polo.univesp.br;10;30
113;Franca;(16) 3711-9224;franca@polo.univesp.br;100;300
114;Francisco Morato;(11) 4488-3497;franciscomorato@polo.univesp.br;60;180
115;Franco da Rocha;(11) 4800-5508;francodarocha@polo.univesp.br;50;150
116;Garça;(14) 3471-0400;garca@polo.univesp.br;15;45
117;Gavião Peixoto;(16) 3338-8760;gaviaopeixoto@polo.univesp.br;10;30
118;Guaíra;(17) 3331-1890;NA;15;45
119;Guapiaçu;(17) 3267-1715;guapiacu@polo.univesp.br;10;30
120;Guará;NA;guara@polo.univesp.br;10;30
121;Guaraci;(17) 3285-9964;guaraci@polo.univesp.br;10;30
122;Guararapes;(18) 3406-3426;guararapes@polo.univesp.br;10;30
123;Guararema;(11) 4693-5506 ;guararema@polo.univesp.br;10;30
124;Guaratinguetá;(12) 3133-6545;guaratingueta@polo.univesp.br;40;120
125;Guareí;(15) 3258-1479;guarei@polo.univesp.br;10;30
126;Guariba;(16) 3251-2855 ;guariba@polo.univesp.br;10;30
127;Guarujá;(13) 3342-7734;guaruja@polo.univesp.br;100;300
128;Guarulhos;(11) 2408-7603;guarulhos@polo.univesp.br;100;300
129;Guatapará;NA;guatapara@polo.univesp.br;10;30
130;Herculândia;(14) 3486-1206;herculandia@polo.univesp.br;10;30
131;Holambra;(19) 3802-1999;holambra@polo.univesp.br;10;30
132;Hortolândia;(19) 3865-3038;hortolandia@polo.univesp.br;80;240
133;Iacanga;(14) 3294-3503;iacanga@polo.univesp.br;10;30
134;Ibirá;(17) 3551-2061;ibira@polo.univesp.br;10;30
135;Ibitinga;(16) 3352-9130 ;ibitinga@polo.univesp.br;20;60
136;Ibiúna;(15) 3241-1834 ;ibiuna@polo.univesp.br;25;75
137;Icém;(17) 3282-2024;icem@polo.univesp.br;10;30
138;Igaraçu do Tietê;(14) 3644-8701;igaracudotiete@polo.univesp.br;10;30
139;Igarapava;(16) 99309-3429;igarapava@polo.univesp.br;10;30
140;Igaratá;(11) 3090-1189;igarata@polo.univesp.br;10;30
141;Iguape;(13) 3841-4077;iguape@polo.univesp.br;10;30
142;Ilha Comprida;(13) 3842-1368;ilhacomprida@polo.univesp.br;10;30
143;Ilha Solteira;(18) 3743-6045;ilhasolteira@polo.univesp.br;10;30
144;Ilhabela;(12) 3896- 8315;ilhabela@polo.univesp.br;10;30
145;Indaiatuba;(19) 3885-1922 ;indaiatuba@polo.univesp.br;40;120
146;Ipaussu;(14) 3344-9057;ipaussu@polo.univesp.br;10;30
147;Iperó;(15) 3266-2324 ;ipero@polo.univesp.br;10;30
148;Ipeúna;(19) 3576-1551;ipeuna@polo.univesp.br;10;30
149;Iporanga;(15) 3656-9830;iporanga@polo.univesp.br;10;30
150;Irapuru;NA;irapuru@polo.univesp.br;NA;NA
151;Itaberá;(15) 3562-2051;itabera@polo.univesp.br;10;30
152;Itaí;(14) 3761-3160;itai@polo.univesp.br;10;30
153;Itajobi;(17) 99739-1993;itajobi@polo.univesp.br;10;30
154;Itaju;NA;itaju@polo.univesp.br;10;30
155;Itanhaém;(13) 3421-1709;itanhaem@polo.univesp.br;35;105
156;Itaoca;(15) 3557-1118;itaoca@polo.univesp.br;10;30
157;Itapecerica da Serra;(11) 4666-2216;itapecericadaserra@polo.univesp.br;60;180
158;Itapetininga;(15) 3273-4590;itapetininga.uab@polo.univesp.br;60;180
159;Itapeva;(15) 3524-1748;itapeva@polo.univesp.br;35;105
160;Itapevi;(11) 4142-7854;itapevi@polo.univesp.br;80;240
161;Itapira;NA;itapira@polo.univesp.br;25;75
162;Itápolis;(16) 3265-5403;itapolis@polo.univesp.br;15;45
163;Itaporanga;NA;itaporanga@polo.univesp.br;10;30
164;Itapuí;(14) 3664-1331;itapui@polo.univesp.br;10;30
165;Itaquaquecetuba;(11) 4755-6649;itaquaquecetuba@polo.univesp.br;100;300
166;Itararé;(15) 3532-5707;itarare@polo.univesp.br;15;45
167;Itariri;(13) 3418-3004;itariri@polo.univesp.br;10;30
168;Itatiba;NA;itatiba@polo.univesp.br;40;120
169;Itatinga;(14) 3848-3039;itatinga@polo.univesp.br;NA;NA
170;Itu;(11) 4013 1872;itu@polo.univesp.br;40;120
171;Itupeva;(11) 4496-5058 ;itupeva@polo.univesp.br;20;60
172;Ituverava;(16) 3729-2694;ituverava@polo.univesp.br;15;45
173;Jaborandi;NA;jaborandi@polo.univesp.br;NA;NA
174;Jaboticabal;(16) 3202 1631;jaboticabal@polo.univesp.br;25;75
175;Jacareí;(12) 3959 -1788;jacarei@polo.univesp.br;80;240
176;Jacupiranga;(13) 3864-1513;jacupiranga@polo.univesp.br;10;30
177;Jaguariúna;(19) 3837-3079;jaguariuna@polo.univesp.br;20;60
178;Jales;(17) 99671-9409 ;jales@polo.univesp.br;15;45
179;Jambeiro;(12) 3978-1396;jambeiro@polo.univesp.br;10;30
180;Jandira;(11) 4789-2459;jandira@polo.univesp.br;40;120
181;Jaú;(14) 3622-5838;jau@polo.univesp.br;50;150
182;José Bonifácio;(17) 3245-9200 ;josebonifacio@polo.univesp.br;10;30
183;Juquiá;(13) 99700-3930;juquia@polo.univesp.br;10;30
184;Juquitiba;(11) 4681-4128 ;juquitiba@polo.univesp.br;10;30
185;Lagoinha;(12) 3647-1512;lagoinha@polo.univesp.br;10;30
186;Laranjal Paulista;(15) 3283-1222;laranjalpaulista@polo.univesp.br;10;30
187;Leme;(19) 3554-2802;leme@polo.univesp.br;35;105
188;Lençóis Paulista;(14) 3264-8988;lencoispaulista@polo.univesp.br;25;75
189;Limeira;(19) 3404-6550;limeira@polo.univesp.br;100;300
190;Lins;(14) 3532-5182 ;lins@polo.univesp.br;25;75
191;Lorena;(12) 3157-1743;lorena@polo.univesp.br;30;90
192;Louveira;(19) 3878-4820;louveira@polo.univesp.br;15;45
193;Lucélia;(18) 3551-1154;lucelia@polo.univesp.br;10;30
194;Luís Antônio ;(16) 3983-2434;luisantonio@polo.univesp.br;10;30
195;Macatuba;(14) 3268-1012;macatuba@polo.univesp.br;10;30
196;Mairinque;(11) 4708-2613;mairinque@polo.univesp.br;15;45
197;Mairiporã;(11) 4604-0180 ;mairipora@polo.univesp.br;35;105
198;Manduri;NA;manduri@polo.univesp.br;10;30
199;Maracaí;(18) 3371-1112;maracai@polo.univesp.br;NA;NA
200;Marília;(14) 3311-2831;marilia@polo.univesp.br;80;240
201;Martinópolis;(18) 3275-1155 ;martinopolis@polo.univesp.br;10;30
202;Matão;(16) 3384-1045;matao@polo.univesp.br;30;90
203;Mauá;(11) 4512-7500 ;maua@polo.univesp.br;100;300
204;Miguelópolis;NA;miguelopolis@polo.univesp.br;10;30
205;Mineiros do Tietê;(14) 3646-2000;mineirosdotiete@polo.univesp.br;10;30
206;Miracatu;(13) 3847-1170 ;miracatu@polo.univesp.br;10;30
207;Mirante do Paranapanema;(18) 3991-1188;mirantedoparanapanema@polo.univesp.br;10;30
208;Mirassol;NA;mirassol@polo.univesp.br;20;60
209;Mococa;(19) 3656-5559;mococa@polo.univesp.br;40;120
210;Mogi das Cruzes;(11) 4798-6993;mogidascruzes@polo.univesp.br;100;300
211;Mogi Mirim;(19) 3805-2611 ;mogimirim@polo.univesp.br;15;45
212;Mongaguá;(13) 3507-2358;mongagua@polo.univesp.br;NA;NA
213;Monte Alto;(16) 3242-1313;montealto@polo.univesp.br;15;45
214;Monte Azul Paulista;NA;monteazulpaulista@polo.univesp.br;10;30
215;Monte Mor;(19) 3879-1208 ;montemor@polo.univesp.br;20;60
216;Morro Agudo;(16) 3851-1669;morroagudo@polo.univesp.br;10;30
217;Morungaba;(11) 4014-4374 ;morungaba@polo.univesp.br;10;30
218;Motuca;(16) 3348-9300;motuca@polo.univesp.br;10;30
219;Muritinga do Sul;(18) 3788-1138;murutingadosul@polo.univesp.br;10;30
220;Nantes;(18) 3268-6208;nantes@polo.univesp.br;10;30
221;Narandiba;(18) 3992 -1160;narandiba@polo.univesp.br;10;30
222;Natividade da Serra;(12) 3677-1043 ;natividadedaserra@polo.univesp.br;10;30
223;Nova Granada;(17) 98186-6850;novagranada@polo.univesp.br;10;30
224;Novais;NA;novais@polo.univesp.br;NA;NA
225;Novo Horizonte;(17) 3542-1107;novohorizonte@polo.univesp.br;15;45
226;Olímpia;(17) 3281-4555 ;olimpia@polo.univesp.br;20;60
227;Orindiúva;(17)3816-1310 ;orindiuva@polo.univesp.br;10;30
228;Orlândia;(16) 3820-8219;orlandia@polo.univesp.br;15;45
229;Osasco - UAB;(11) 2183-0921;osasco.uab@polo.univesp.br;100;300
230;Ourinhos;(14) 3412-2500;ourinhos@polo.univesp.br;40;120
231;Ouro Verde;NA;ouroverde@polo.univesp.br;10;30
232;Ouroeste;(17) 3843-3853 ;ouroeste@polo.univesp.br;10;30
233;Pacaembu;(18) 3862-1234;pacaembu@polo.univesp.br;10;30
234;Palmares Paulista;(17) 3587-1330 ;palmarespaulista@polo.univesp.br;10;30
235;Palmital;(18) 3351-1088 ;palmital@polo.univesp.br;10;30
236;Paraguaçu Paulista;(18) 3361-9103;paraguacu@polo.univesp.br;15;45
237;Paraibuna;(12) 3974-0055;paraibuna@polo.univesp.br;10;30
238;Paranapanema;(14) 3713-9200;paranapanema@polo.univesp.br;NA;NA
239;Parapuã;(18) 3582-3142;parapua@polo.univesp.br;10;30
240;Pardinho;(14) 3886-1177 ;pardinho@polo.univesp.br;10;30
241;Pariquera - Açu;(13) 3856-1311;pariqueraacu@polo.univesp.br;10;30
242;Paulistânia;NA;paulistania@polo.univesp.br;10;30
243;Paulo de Faria;(17) 3292-1192;paulodefaria@polo.univesp.br;10;30
244;Pederneiras;(14) 3252-2083;pederneiras@polo.univesp.br;15;45
245;Pedreira;(19) 3853-2747;pedreira@polo.univesp.br;15;45
246;Pedro de Toledo;(13) 3419-1656 ;pedrodetoledo@polo.univesp.br;10;30
247;Penápolis;(18) 3652-0867;penapolis@polo.univesp.br;20;60
248;Pereira Barreto;NA;pereirabarreto@polo.univesp.br;10;30
249;Pereiras;(14) 3888-1281;pereiras@polo.univesp.br;10;30
250;Peruíbe;(13) 3455-8389 ;peruibe@polo.univesp.br;25;75
251;Piacatu;(18) 3693-1114;piacatu@polo.univesp.br;10;30
252;Pilar do Sul;(15) 3278-1419 ;pilardosul@polo.univesp.br;10;30
253;Piquete;(12) 3156-1078 ;piquete@polo.univesp.br;10;30
254;Piracaia;(11) 4036-2750;piracaia@polo.univesp.br;10;30
255;Piracicaba;(19) 3433-7747;piracicaba@polo.univesp.br;100;300
256;Pirajuí;(14) 3584-4881;pirajui@polo.univesp.br;10;30
257;Pirapozinho;NA;pirapozinho@polo.univesp.br;NA;NA
258;Pirassununga;(19) 3561-9085;pirassununga@polo.univesp.br;25;75
259;Pitangueiras;(16) 3952-1429;pitangueiras@polo.univesp.br;10;30
260;Planalto;(18) 3695-1424;planalto@polo.univesp.br;NA;NA
261;Poá;(11) 4638-4654 ;poa@polo.univesp.br;40;120
262;Pompeia;(14) 3452 -2818;pompeia@polo.univesp.br;10;30
263;Pontal;(16) 3953-1301;pontal@polo.univesp.br;15;45
264;Porangaba;(15) 3257-1251;porangaba@polo.univesp.br;10;30
265;Porto Feliz;(15) 3261-7360;portofeliz@polo.univesp.br;15;45
266;Porto Ferreira;(19) 3581-3114;portoferreira@polo.univesp.br;20;60
267;Potim;(12) 3112-1228 ;potim@polo.univesp.br;10;30
268;Pradópolis;(16) 99268-9989;pradopolis@polo.univesp.br;10;30
269;Praia Grande;(13) 3496-1943;praiagrande@polo.univesp.br;90;270
270;Pratânia;(14) 3844-1065;pratania@polo.univesp.br;10;30
271;Presidente Bernardes;(18) 3262-1502;presidentebernardes@polo.univesp.br;10;30
272;Presidente Epitácio;(18) 3281-1326;presidenteepitacio@polo.univesp.br;15;45
273;Presidente Prudente;(18) 3909-9110;prudente@polo.univesp.br;80;240
274;Presidente Venceslau;(18) 3271-1202;presidentevenceslau@polo.univesp.br;10;30
275;Quatá;(18) 3366-1178;quata@polo.univesp.br;10;30
276;Queluz;(12) 3147-1484;queluz@polo.univesp.br;10;30
277;Quintana;NA;quintana@polo.univesp.br;10;30
278;Rancharia;NA;rancharia@polo.univesp.br;10;30
279;Redenção da Serra;(12) 3676 - 1112;redencaodaserra@polo.univesp.br;10;30
280;Reginópolis;NA;reginopolis@polo.univesp.br;10;30
281;Registro;(13) 3822-6014;registro@polo.univesp.br;NA;NA
282;Restinga;NA;restinga@polo.univesp.br;NA;NA
283;Ribeira;(15) 3555-1149;ribeira@polo.univesp.br;10;30
284;Ribeirão Corrente;(16) 3749-1017 ;ribeiraocorrente@polo.univesp.br;10;30
285;Ribeirão Bonito;(16) 9 9769-9557;ribeiraobonito@polo.univesp.br;NA;NA
286;Ribeirão Pires;(11) 4824-3996;ribeiraopires@polo.univesp.br;40;120
287;Ribeirão Preto ;(16) 3931-5400;ribeiraopreto@polo.univesp.br;30;90
288;Rincão;(16) 3395-2045;rincao@polo.univesp.br;10;30
289;Rinópolis;(18) 3583-1321 ;rinopolis@polo.univesp.br;10;30
290;Rio Claro;(19) 98129-6364 ;rioclaro@polo.univesp.br;70;210
291;Rio das Pedras;(19) 3493-3228 ;riodaspedras@polo.univesp.br;10;30
292;Riolândia;(17) 3291-1113;riolandia@polo.univesp.br;10;30
293;Rosana;(18) 3288 8215;rosana@polo.univesp.br;10;30
294;Sales;NA;sales@polo.univesp.br;NA;NA
295;Salesópolis;(11) 4696-4163;salesopolis@polo.univesp.br;10;30
296;Saltinho;(19) 3439-7809 ;saltinho@polo.univesp.br;10;30
297;Salto;(11) 4028-2573;salto@polo.univesp.br;40;120
298;Salto de Pirapora;NA;saltodepirapora@polo.univesp.br;NA;NA
299;Sandovalina;(18) 3227-1167 ;sandovalina@polo.univesp.br;10;30
300;Santa Adélia;(17) 3571-1341;santaadelia@polo.univesp.br;10;30
301;Santa Bárbara d'Oeste;NA;santabarbaradoeste@polo.univesp.br;70;210
302;Santa Branca;(12) 3972-4214;santabranca@polo.univesp.br;10;30
303;Santa Cruz da Conceição;(19) 3567-1604 ;santacruzdaconceicao@polo.univesp.br;10;30
304;Santa Cruz da Esperança;(16) 3666-1166;santacruzdaesperanca@polo.univesp.br;10;30
305;Santa Cruz das Palmeiras;(19) 99285-0973 ;santacruzdaspalmeiras@polo.univesp.br;10;30
306;Santa Cruz do Rio Pardo;(14) 3372-2772 ;santacruzdoriopardo@polo.univesp.br;15;45
307;Santa Gertrudes;(19) 3545-4507;santagertrudes@polo.univesp.br;10;30
308;Santa Isabel;(11) 4657-4384 ;santaisabel@polo.univesp.br;20;60
309;Santa Maria da Serra;(19) 3487-1226;santamariadaserra@polo.univesp.br;NA;NA
310;Santa Rosa de Viterbo;(16) 3954-4116;santarosadeviterbo@polo.univesp.br;NA;NA
311;Santana de Parnaíba;(11) 4154-2365;santana@polo.univesp.br;50;150
312;Santo Anastácio;(18) 3263-1008 ;santoanastacio@polo.univesp.br;10;30
313;Santo André;(11) 3356-8180;santoandre.prefeitura@polo.univesp.br;100;300
314;Santo Antônio da Alegria;(16) 3668-2051;santoantoniodaalegria@polo.univesp.br;10;30
315;Santópolis do Agapeí;(18) 3605-1209;santopolisdoaguapei@polo.univesp.br;10;30
316;Santos;(13) 3232-1451 ;santos@polo.univesp.br;100;300
317;São Bernardo do Campo;(11) 2630-7771;saobernardodocampo@polo.univesp.br;100;300
318;São Caetano do Sul;(11) 4224-0676;saocaetanodosul.prefeitura@polo.univesp.br;60;180
319;São Carlos;(16) 3362-0580 ;saocarlos@polo.univesp.br;90;270
320;São João da Boa Vista;(19) 3631-0114 ;sjboavista@polo.univesp.br;30;90
321;São José do Barreiro;(12) 3117-1240;saojosedobarreiro@polo.univesp.br;10;30
322;São José do Rio Pardo;(19) 3608-4704 ;sjriopardo@polo.univesp.br;;
323;São José do Rio Preto;(17) 3211 4004 ;sjriopreto@polo.univesp.br;100;300
324;São José dos Campos - Parque de Inovação Tecnológica;(12) 3878-9542;sjcampos@polo.univesp.br;100;300
325;São José dos Campos - Santana;(12) 3911 3748 ;sjcampos.uab@polo.univesp.br;100;300
326;São José dos Campos - São Francisco Xavier;NA;sjcampos.sfxavier@polo.univesp.br;10;30
327;São Lourenço da Serra;(11) 4686-1525;saolourencodaserra@polo.univesp.br;10;30
328;São Luiz do Paraitinga;(12) 3671-1208;saoluizdoparaitinga@polo.univesp.br;10;30
329;São Miguel Arcanjo;(15) 3279-1104;saomiguelarcanjo@polo.univesp.br;10;30
330;São Paulo - Água Azul;(11) 2282-5051;sp.aguaazul@polo.univesp.br;35;105
331;São Paulo - Alvarenga;(11) 5672 2503;sp.alvarenga@polo.univesp.br;35;105
332;São Paulo - Aricanduva;(11) 2723 7517;sp.aricanduva@polo.univesp.br;35;105
333;São Paulo - Azul da Cor do Mar;(11) 3397-9037;sp.azulmar@polo.univesp.br;35;105
334;São Paulo - Brasilândia UniCEU Paz;(11) 3986-3463;sp.paz@polo.univesp.br;35;105
335;São Paulo - Butantã;(11) 3732-4537 ;sp.butanta@polo.univesp.br;35;105
336;São Paulo - Butantã - UniCEU Uirapuru;(11) 3788-7727 ;sp.uirapuru@polo.univesp.br;35;105
337;São Paulo - Caminho do Mar;(11) 3396-5656 ;sp.caminhodomar@polo.univesp.br;35;105
338;São Paulo - Campo Limpo;(11) 5843 4807 ;campolimpo.paulista@polo.univesp.br;35;105
339;São Paulo - Campo Limpo - UniCEU Feitiço da Vila;(11) 3397-6602 ;sp.feiticodavila@polo.univesp.br;35;105
340;São Paulo - Campo Limpo - UniCEU Guarapiranga;(11)3397-9502 ;sp.guarapiranga@polo.univesp.br;35;105
341;São Paulo - Cantos do Amanhecer;(11) 3397-9770 ;sp.cantosdoamanhecer@polo.univesp.br;35;105
342;São Paulo - Capão Redondo;(11) 5874-9842 ;sp.capaoredondo@polo.univesp.br;35;105
343;São Paulo - Capela do Socorro - UniCEU Vila Rubi;(11) 5662-9406 ;sp.vilarubi@polo.univesp.br;35;105
344;São Paulo - Carrão;(11) 3396-0482;sp.carrao@polo.univesp.br;35;105
345;São Paulo - Casa Blanca;(11) 5519 5216 ;sp.casablanca@polo.univesp.br;35;105
346;São Paulo - Cidade Dutra;(11) 5668 1938 ;sp.dutra@polo.univesp.br;35;105
347;São Paulo - Formosa;(11) 2036-4300;sp.formosa@polo.univesp.br;35;105
348;São Paulo - Guaianases UniCEU Inácio Monteiro;(11) 2518-9002 ;sp.inaciomonteiro@polo.univesp.br;35;105
349;São Paulo - Guaianases UniCEU Lajeado;(11) 3397-6961;sp.lajeado@polo.univesp.br;35;105
350;São Paulo - Heliópolis;(11) 2353-4307;sp.heliopolis@polo.univesp.br;35;105
351;São Paulo - Jaçanã;(11) 3397-4358 ;sp.jacana@polo.univesp.br;35;105
352;São Paulo - Jambeiro;(11) 2960-2055;sp.jambeiro@polo.univesp.br;35;105
353;São Paulo - Jardim Paulistano;(11) 3397-5413;sp.paulistano@polo.univesp.br;35;105
354;São Paulo - Meninos;(11) 2945-2547;sp.meninos@polo.univesp.br;35;105
355;São Paulo - Navegantes;(11) 5976-5535 ;sp.navegantes@polo.univesp.br;35;105
356;São Paulo - Paraisópolis;(11) 3747-1961;sp.paraisopolis@polo.univesp.br;35;105
357;São Paulo - Parelheiros;(11) 5926-6911;sp.parelheiros@polo.univesp.br;35;105
